id,daddy,name,brand,price,description,color,style,imglink,hash
"12230395","data/accessoriescsv.csv","ALBERTA FERRETTI Friday intarsia beanie","Nº21","HK$1024","Navy blue wool logo intarsia beanie from Nº21.","NAVY","N1M30417010","https://cdn-images.farfetch-contents.com/12/23/03/95/12230395_10492538_322.jpg","e15ac260bca0119df0eccc5817d755dd"
"12202867","data/accessoriescsv.csv","ALEXANDER MCQUEEN Wallet with chain","Alexander McQueen","HK$2339","Add some edgy sophistication to your ensemble with this stud detail wallet with chain detail from Alexander McQueen. Presented in oxblood red calf leather it features multiple card slots a coin pocket a note compartment and a front logo plaque. To give it a classic Alexander McQueen edge it also features silver-tone stud detailing and a silver-tone chain detail.","6011 OXBLOOD","324983D781N","https://cdn-images.farfetch-contents.com/12/20/28/67/12202867_10403244_322.jpg","93a2ee10badc5938b6f5e9dee9d42824"
"12520400","data/accessoriescsv.csv","ALEXANDER MCQUEEN Eagle & Leaves scarf","Alexander McQueen","HK$3406","Infuse your wardrobe with high-octane edgy glamour Alexander McQueen is renowned for with this black leather McQueen belt featuring a silver-tone buckle.","1000","3388750H30N","https://cdn-images.farfetch-contents.com/12/52/04/00/12520400_11809186_322.jpg","5977684c389327cc46ef05b0b9b0b516"
"12254542","data/accessoriescsv.csv","ANYA HINDMARCH The Stack circus multi wristlet makeup bag","Anya Hindmarch","HK$2395","Red zipped wash bag from Anya Hindmarch.","OXBLOOD","960137","https://cdn-images.farfetch-contents.com/12/25/45/42/12254542_10627880_322.jpg","ad8a2bd0894e12c5429fefd9912e6261"
"12461673","data/accessoriescsv.csv","ANYA HINDMARCH The Stack coin purse","Comme Des Garçons Wallet","HK$1370","Black and white calf leather coin purse from Comme Des Garçons Wallet. This item is unisex.","OPTIC BLACK","SA3100GA","https://cdn-images.farfetch-contents.com/12/46/16/73/12461673_11545710_322.jpg","2de71118b566d50d98da59a4bbbed57a"
"12338342","data/accessoriescsv.csv","BOTTEGA VENETA Cat eye glasses","Marc Jacobs Eyewear","HK$1517","Black cat eye glasses from Marc Jacobs Eyewear. This item is unisex. This item comes with a protective case.","807","MARC258","https://cdn-images.farfetch-contents.com/12/33/83/42/12338342_10991425_322.jpg","6f58b9d9827cf97b693fc1c00b7aece9"
"11994353","data/accessoriescsv.csv","BURBERRY Beasts print and check scarf","Burberry","HK$6429","Luxury British fashion house Burberry is renowned for its signature designs as showcased by this stylish bomber jacket from the label's latest collection. Expertly crafted the piece is infused with the brand's traditions. It features a ribbed collar a beasts print front zip fastening front snap button pockets zipped pocket at the sleeve and a ribbed hem and cuffs.","SAGE GREEN","4055219","https://cdn-images.farfetch-contents.com/11/99/43/53/11994353_10478960_322.jpg","7cba40a3927a513c984aa99d80b56069"
"12360193","data/accessoriescsv.csv","CHLOÉ Faye wallet","Comme Des Garçons Wallet","HK$1709","Blue and silver toned leather checked wallet from Comme Des Garçons Play.","BLUE","SA2100GB","https://cdn-images.farfetch-contents.com/12/36/01/93/12360193_11057960_322.jpg","1f1800f46b6470001bd7b2eae3e6777d"
"12478086","data/accessoriescsv.csv","DITA Brixa glasses","Dita Eyewear","HK$5899","Black metal Torus glasses from Dita Eyewear.","BLKBLK","110","https://cdn-images.farfetch-contents.com/12/47/80/86/12478086_11694010_322.jpg","22d80aeb4aeb2ef395a4d55f22ef9631"
"12184856","data/accessoriescsv.csv","Dolce & Gabbana Carretto painted carved wood jewelry box","Dolce & Gabbana","HK$2711","Dolce & Gabbana’s classic leisurewear is crafted in Italy from the finest materials for lasting wearability. This green T-shirt from Dolce & Gabbana’s AW17/18 collection is spun from a soft cotton for optimum comfort. It features a round neck short sleeves a relaxed fit and a multi colour print of a gorilla.","HVD86/GREEN","G8HI7THP7SN","https://cdn-images.farfetch-contents.com/12/18/48/56/12184856_10366764_322.jpg","5b8cc7f0167a0a612a1dbbf25ff5aa35"
